Submission ID;Respondent ID;Submitted at;avg_all;avg_men;avg_women;avg_old;avg_young;avg_mid;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
NKWbBO;4dWDeO;12.3.2025 12:05;30;41;32;55;27;28;42;24;32;41;52;60;48;39;32;16;26;50;51;56;8;58;29;29;54;46;40;7;34;36;25;36;36;26;31;36;21;69;22;29;36;36;37;20;46;7;39;50;19;63;37;23;50;39;50;46
1Z7O9W;65b6ZY;12.3.2025 12:36;35;42;35;55;15;30;37;15;42;40;50;45;44;43;33;13;20;38;50;46;6;44;25;45;48;38;35;7;35;33;24;44;40;28;25;40;10;60;30;36;33;14;42;10;29;5;29;50;12;65;33;16;37;30;48;44
abYPp9;RlXN0J;12.3.2025 13:05;38;46;35;60;13;29;30;18;37;31;51;54;44;40;35;15;22;28;58;43;6;56;25;37;57;42;33;8;46;30;23;45;53;28;31;43;15;68;26;32;47;18;38;16;40;7;34;58;16;64;35;25;44;32;56;49
8vQlal;bGBPye;12.3.2025 13:38;27;39;45;58;8;32;33;15;41;36;54;55;44;45;37;10;26;38;62;51;6;50;28;39;60;41;38;4;35;37;30;43;45;29;25;44;14;66;26;32;43;40;36;12;38;4;34;47;16;67;34;26;43;30;56;45
WGNO4v;0yrde9;12.3.2025 14:38;28;29;24;45;18;17;25;17;28;22;47;45;42;38;33;15;16;23;55;56;8;35;20;25;52;45;37;5;30;30;17;21;34;23;17;35;16;60;25;25;40;10;38;13;30;5;28;29;19;64;33;30;30;30;42;47
zpqpr0;O91KWp;12.3.2025 19:05;32;41;37;52;12;25;31;27;44;35;48;53;40;47;36;11;17;65;59;57;5;53;42;38;44;37;39;7;36;35;27;34;41;29;24;49;12;67;25;34;53;28;36;11;32;4;34;45;16;62;34;28;41;29;53;48
dLYxpK;4yXZaY;12.3.2025 20:25;48;43;52;63;16;44;37;17;35;50;57;53;48;44;33;13;27;47;62;44;7;45;41;46;58;35;48;7;37;42;30;43;38;25;28;49;17;64;33;29;44;15;43;18;38;7;36;45;19;70;25;25;51;28;53;47
7BdWDP;x1xGlk;12.3.2025 20:30;14;35;37;42;11;26;32;16;39;41;43;50;42;41;36;10;19;48;47;35;7;46;22;33;53;40;35;6;32;50;24;43;37;29;22;37;14;58;25;35;26;11;35;16;41;6;34;43;15;64;30;19;46;30;50;45
orAlE5;G4xxgz;12.3.2025 21:41;16;38;34;47;12;15;33;15;37;38;48;45;51;38;38;12;24;37;49;42;7;41;27;34;51;37;47;8;47;34;26;41;44;24;22;28;14;58;26;33;45;26;39;15;41;7;38;47;16;53;45;23;34;28;53;49
WGAbZj;PedANb;12.3.2025 23:49;18;40;39;50;12;25;33;17;38;40;58;48;43;41;39;14;22;35;56;55;5;48;30;34;54;39;36;5;37;37;28;42;43;32;23;40;20;65;24;30;40;25;45;15;40;5;38;53;16;65;30;23;45;32;54;44
DregJl;p1ezL1;13.3.2025 9:27;17;28;23;40;16;18;35;14;32;35;45;56;42;40;28;13;19;20;48;49;5;38;18;37;52;48;41;3;37;31;27;45;48;29;22;27;17;61;21;23;29;16;38;15;43;6;40;42;17;60;36;19;47;28;45;50
kD5k0o;G4eNeL;13.3.2025 11:47;42;45;36;48;17;23;37;21;38;35;48;55;44;39;42;15;19;37;45;42;5;35;32;31;53;48;33;5;40;36;21;34;35;32;24;42;16;60;25;30;34;10;43;16;45;8;44;46;18;62;35;24;47;28;49;47
yKxzQ0;JxqKdX;13.3.2025 11:56;28;40;35;52;13;25;35;20;33;27;55;40;43;38;30;13;28;51;55;47;5;35;27;30;57;45;40;4;48;38;25;40;44;30;25;44;18;63;20;22;41;32;48;20;44;5;42;51;20;66;26;18;50;21;51;57
loLvoV;LN91pl;13.3.2025 11:57;25;27;31;40;10;14;28;15;36;29;44;51;42;37;34;11;17;24;50;48;4;33;19;30;56;43;38;5;34;31;16;29;32;27;18;40;13;67;27;33;30;18;37;15;35;4;38;46;17;69;33;25;38;22;49;45
orovr5;1yXPV1;13.3.2025 11:57;18;43;25;55;10;40;33;14;35;43;49;50;45;37;35;10;23;23;47;37;4;25;17;28;50;43;35;7;28;24;19;35;36;22;19;39;12;65;26;23;23;18;48;17;40;9;40;48;9;64;18;13;40;15;45;50
e1LzqQ;5DbKzZ;13.3.2025 11:57;24;45;35;47;15;40;37;19;39;42;50;58;43;47;40;17;25;38;55;49;7;37;24;37;56;48;39;6;35;36;28;52;45;33;29;39;12;65;85;35;33;37;41;13;45;9;30;40;15;68;38;19;43;29;52;45
rNVYoR;yRMZxg;13.3.2025 11:58;22;31;27;42;12;21;31;17;33;34;49;47;44;38;32;13;22;31;54;43;5;34;28;30;51;47;37;5;32;30;14;34;35;28;25;37;13;62;21;24;30;15;43;14;35;4;34;44;15;58;31;19;32;27;53;46
02Lkxy;7zqlVP;13.3.2025 11:58;21;41;39;62;13;28;33;18;41;35;58;52;48;36;38;15;22;25;48;38;5;27;27;30;62;58;50;7;30;30;25;29;30;28;28;32;23;72;30;30;30;17;32;14;40;8;31;42;18;68;23;20;42;27;42;44
4WLO6X;Bla4JR;13.3.2025 12:02;18;32;26;46;12;35;31;14;35;32;50;45;40;30;22;15;19;25;46;55;5;43;17;28;48;41;32;7;32;28;21;33;35;27;24;36;14;60;19;21;26;26;38;13;35;7;30;40;10;62;29;22;32;34;45;46
xk2zAy;EEKz7r;13.3.2025 12:02;36;50;30;57;16;28;32;15;40;35;57;47;50;35;30;12;19;28;40;35;4;35;26;28;42;46;34;5;38;30;20;39;45;31;25;38;15;63;25;28;25;17;38;12;30;3;33;43;13;63;42;24;42;27;40;43
OpLVaA;XkLlZj;13.3.2025 12:03;19;32;24;41;10;25;29;22;36;38;47;53;35;28;25;9;19;33;46;40;4;26;17;36;55;45;38;5;28;23;15;45;37;24;21;39;13;63;20;28;30;15;35;16;32;5;34;45;17;68;24;20;36;18;55;48
PMlPA1;qML4Ld;13.3.2025 12:05;25;32;38;57;13;35;30;17;45;36;55;58;44;39;35;14;19;35;43;51;6;36;36;36;58;56;47;9;32;31;28;44;45;27;28;43;22;60;27;33;56;14;37;15;40;9;40;50;13;65;30;21;45;32;51;51
7BoPaA;4yQ485;13.3.2025 12:06;14;28;25;56;12;26;28;23;32;29;54;44;46;37;33;11;19;26;61;36;4;29;24;27;57;47;46;5;35;20;22;35;34;26;18;36;14;62;17;24;28;15;33;16;36;4;29;51;15;65;30;17;40;17;55;48
gyLg8K;O9aQX8;13.3.2025 12:14;30;40;32;45;10;25;28;17;31;40;45;51;48;37;28;11;16;42;55;39;8;29;33;31;53;41;37;6;30;27;18;41;39;22;19;30;16;57;23;28;34;17;38;24;37;8;41;45;16;66;30;24;29;22;48;52
YErv2J;k1l9ZR;13.3.2025 12:33;16;42;31;45;11;25;32;15;33;34;56;62;59;39;40;14;19;33;38;45;5;41;43;29;64;53;34;7;48;30;29;44;39;31;18;40;17;70;20;23;34;18;45;18;45;5;44;58;16;67;33;23;53;27;50;53
VRV2dN;v1MBYD;13.3.2025 13:46;17;17;22;25;12;14;27;15;29;37;54;41;40;42;38;10;16;24;44;36;6;21;19;23;56;48;37;5;34;18;15;33;39;20;22;21;14;62;32;28;29;13;33;16;35;4;27;50;13;58;36;17;36;20;43;48
JaLaDX;zojeJ0;13.3.2025 13:56;17;34;24;40;10;23;26;16;32;29;41;50;38;36;29;14;19;33;40;43;6;34;25;28;43;37;30;7;35;28;23;37;40;27;20;26;15;60;24;26;32;27;32;11;28;8;30;36;14;59;36;28;37;31;45;45
56MXY6;O9515A;13.3.2025 14:25;38;25;39;40;18;40;37;23;30;27;57;58;50;35;43;10;27;23;61;56;8;53;42;25;60;53;50;4;47;23;15;29;45;32;18;49;12;69;18;22;47;11;45;22;45;9;42;58;20;68;38;17;50;18;55;53
02v8Lj;qMLYWO;13.3.2025 14:37;25;40;33;45;17;18;32;21;34;28;44;42;45;38;36;16;17;31;40;42;5;38;36;32;48;42;45;8;36;28;24;30;36;29;21;34;17;62;22;28;26;19;36;14;40;6;38;44;13;65;32;24;42;22;40;40
WGY11a;DPBExq;13.3.2025 16:23;25;30;30;50;15;40;30;15;30;35;45;50;50;50;55;10;19;35;50;55;5;40;50;45;55;50;55;8;40;30;20;45;45;35;20;40;5;60;15;25;30;15;45;15;45;5;35;50;25;50;35;25;50;25;40;55
6bvgkB;x1rKO9;13.3.2025 18:04;30;28;29;45;14;16;29;22;32;34;48;50;43;36;3;14;27;34;50;42;4;40;19;28;49;36;28;6;35;29;26;44;33;25;27;28;18;55;22;27;34;30;31;23;38;6;30;37;14;56;31;18;33;26;41;50
02JGpA;WBrDvk;13.3.2025 22:39;16;25;25;39;9;20;22;17;32;29;41;42;42;45;29;11;23;25;50;29;4;32;18;23;51;48;32;4;32;25;19;31;28;23;21;32;14;60;18;23;22;22;41;16;41;4;41;42;15;61;35;21;41;29;55;42
PM2jP5;WBEeee;14.3.2025 7:56;17;32;24;42;12;29;26;15;32;27;41;46;43;38;30;13;19;22;53;50;4;31;25;29;59;38;35;7;34;31;26;33;36;21;16;24;15;63;19;21;26;13;31;13;33;6;28;39;15;68;28;20;27;22;42;43
WGeNrv;LN7oJv;14.3.2025 9:05;14;26;30;60;8;13;30;13;35;33;45;42;50;40;35;13;27;30;43;46;6;45;20;34;55;38;43;7;40;34;23;35;37;26;25;50;18;65;25;30;37;12;43;16;37;6;34;52;15;65;33;23;47;18;48;45
pjRWjq;BlxK67;14.3.2025 18:36;20;25;30;35;35;28;32;17;40;35;48;45;48;45;42;13;29;40;58;46;5;50;40;39;58;48;50;5;36;40;29;36;35;32;23;30;25;62;25;28;35;18;45;22;35;7;40;58;20;63;30;20;45;30;45;45
